"card","meaning","german","plural","pdfEntries","teacherRows","url","aliases"
"W232","Gardener","der Gärtner / die Gärtnerin","die Gärtner / die Gärtnerinnen","W232, W233","2","https://hrezaii95.github.io/german-learning-exam/vocabulary/w232/","/collections/professions/02"
"W234","Auto Mechanic","der Automechaniker / die Automechanikerin","die Automechaniker / die Automechanikerinnen","W234, W235","3","https://hrezaii95.github.io/german-learning-exam/vocabulary/w234/","/collections/professions/03"
"W236","Bus Driver","der Busfahrer / die Busfahrerin","die Busfahrer / die Busfahrerinnen","W236, W237","4","https://hrezaii95.github.io/german-learning-exam/vocabulary/w236/","/collections/professions/04"
"W238","road / street construction worker","der Straßenarbeiter / die Straßenarbeiterin","die Straßenarbeiter / die Straßenarbeiterinnen","W238, W239","6","https://hrezaii95.github.io/german-learning-exam/vocabulary/w238/","/collections/professions/06"
"W240","Baker","der Bäcker / die Bäckerin","die Bäcker / die Bäckerinnen","W240, W241","7","https://hrezaii95.github.io/german-learning-exam/vocabulary/w240/","/collections/professions/07"
"W242","Bricklayer","der Maurer / die Maurerin","die Maurer / die Maurerinnen","W242, W243","8","https://hrezaii95.github.io/german-learning-exam/vocabulary/w242/","/collections/professions/08"
"W244","Farmer","der Landwirt / die Landwirtin / der Bauer / die Bäuerin","die Landwirte / die Landwirtinnen / die Bauern / die Bäuerinnen","W244, W245, W246, W247","9","https://hrezaii95.github.io/german-learning-exam/vocabulary/w244/","/collections/professions/09"
"W248","Photographer","der Fotograf / die Fotografin","die Fotografen / die Fotografinnen","W248, W249","10","https://hrezaii95.github.io/german-learning-exam/vocabulary/w248/","/collections/professions/10"
"W250","Painter","der Maler / die Malerin","die Maler / die Malerinnen","W250, W251","11","https://hrezaii95.github.io/german-learning-exam/vocabulary/w250/","/collections/professions/11"
"W252","Cook/Chef","der Koch / die Köchin","die Köche / die Köchinnen","W252, W253","14","https://hrezaii95.github.io/german-learning-exam/vocabulary/w252/","/collections/professions/14"
"W254","Refuse Collector","der Müllwerker / die Müllwerkerin","die Müllwerker / die Müllwerkerinnen","W254, W255","15","https://hrezaii95.github.io/german-learning-exam/vocabulary/w254/","/collections/professions/15"
"W256","Butcher","der Metzger / die Metzgerin","die Metzger / die Metzgerinnen","W256, W257","16","https://hrezaii95.github.io/german-learning-exam/vocabulary/w256/","/collections/professions/16"
"W258","Dentist","der Zahnarzt / die Zahnärztin","die Zahnärzte / die Zahnärztinnen","W258, W259","18","https://hrezaii95.github.io/german-learning-exam/vocabulary/w258/","/collections/professions/18"
"W260","Artist","der Künstler / die Künstlerin","die Künstler / die Künstlerinnen","W260, W261","21","https://hrezaii95.github.io/german-learning-exam/vocabulary/w260/","/collections/professions/21"
"W262","Construction Worker","der Bauarbeiter / die Bauarbeiterin","die Bauarbeiter / die Bauarbeiterinnen","W262, W263","22","https://hrezaii95.github.io/german-learning-exam/vocabulary/w262/","/collections/professions/22"
"W264","Firefighter","der Feuerwehrmann / die Feuerwehrfrau","die Feuerwehrmänner / die Feuerwehrfrauen","W264, W265","25","https://hrezaii95.github.io/german-learning-exam/vocabulary/w264/","/collections/professions/25"
"W266","Confectioner","der Konditor / die Konditorin","die Konditoren / die Konditorinnen","W266, W267","26","https://hrezaii95.github.io/german-learning-exam/vocabulary/w266/","/collections/professions/26"
"W268","homemaker","der Hausmann / die Hausfrau","die Hausmänner / die Hausfrauen","W268, W269","27","https://hrezaii95.github.io/german-learning-exam/vocabulary/w268/","/collections/professions/27"
"W271","Airplane Pilot","der Flugzeugpilot / die Flugzeugpilotin","die Flugzeugpiloten / die Flugzeugpilotinnen","W271, W272","29","https://hrezaii95.github.io/german-learning-exam/vocabulary/w271/","/collections/professions/29"
"W273","Police Officer","der Polizist / die Polizistin","die Polizisten / die Polizistinnen","W273, W274","30","https://hrezaii95.github.io/german-learning-exam/vocabulary/w273/","/collections/professions/30"
"W275","Postman / Letter Carrier","der Postbote / die Postbotin / der Briefträger / die Briefträgerin","die Postboten / die Postbotinnen / die Briefträger / die Briefträgerinnen","W275, W276, W277, W278","31","https://hrezaii95.github.io/german-learning-exam/vocabulary/w275/","/collections/professions/31"
"W279","Secretary","der Sekretär / die Sekretärin","die Sekretäre / die Sekretärinnen","W279, W280","32","https://hrezaii95.github.io/german-learning-exam/vocabulary/w279/","/collections/professions/32"
"W281","Soldier","der Soldat / die Soldatin","die Soldaten / die Soldatinnen","W281, W282","35","https://hrezaii95.github.io/german-learning-exam/vocabulary/w281/","/collections/professions/35"
"W283","Carpenter","der Tischler / die Tischlerin","die Tischler / die Tischlerinnen","W283, W284","36","https://hrezaii95.github.io/german-learning-exam/vocabulary/w283/","/collections/professions/36"
"W285","Businessperson","der Geschäftsmann / die Geschäftsfrau","die Geschäftsleute / die Geschäftsfrauen","W285, W286","37","https://hrezaii95.github.io/german-learning-exam/vocabulary/w285/","/collections/professions/37"
"W287","Detective","der Detektiv / die Detektivin","die Detektive / die Detektivinnen","W287, W288","38","https://hrezaii95.github.io/german-learning-exam/vocabulary/w287/","/collections/professions/38"
"W289","Plumber","der Klempner / die Klempnerin / der Installateur / die Installateurin","die Klempner / die Klempnerinnen / die Installateure / die Installateurinnen","W289, W290, W291, W292","39","https://hrezaii95.github.io/german-learning-exam/vocabulary/w289/","/collections/professions/39"
"W293","Surgeon","der Chirurg / die Chirurgin","die Chirurgen / die Chirurginnen","W293, W294","40","https://hrezaii95.github.io/german-learning-exam/vocabulary/w293/","/collections/professions/40"
"W295","Writer","der Schriftsteller / die Schriftstellerin","die Schriftsteller / die Schriftstellerinnen","W295, W296","41","https://hrezaii95.github.io/german-learning-exam/vocabulary/w295/","/collections/professions/41"
"W297","Gas Station Attendant","der Tankwart / die Tankwartin","die Tankwarte / die Tankwartinnen","W297, W298","42","https://hrezaii95.github.io/german-learning-exam/vocabulary/w297/","/collections/professions/42"
"W299","Secret Agent","der Geheimagent / die Geheimagentin","die Geheimagenten / die Geheimagentinnen","W299, W300","43","https://hrezaii95.github.io/german-learning-exam/vocabulary/w299/","/collections/professions/43"
"W301","Lawyer","der Rechtsanwalt / die Rechtsanwältin","die Rechtsanwälte / die Rechtsanwältinnen","W301, W302","44","https://hrezaii95.github.io/german-learning-exam/vocabulary/w301/","/collections/professions/44"
"W303","Judge","der Richter / die Richterin","die Richter / die Richterinnen","W303, W304","45","https://hrezaii95.github.io/german-learning-exam/vocabulary/w303/","/collections/professions/45"
"W305","Cleaner","der Putzmann / die Putzfrau","die Putzmänner / die Putzfrauen","W305, W306","47","https://hrezaii95.github.io/german-learning-exam/vocabulary/w305/","/collections/professions/47"
"W307","Cashier","der Kassierer / die Kassiererin","die Kassierer / die Kassiererinnen","W307, W308","48","https://hrezaii95.github.io/german-learning-exam/vocabulary/w307/","/collections/professions/48"
"W309","Australia","Australien","","W309","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w309/",""
"W310","Canada","Kanada","","W310","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w310/",""
"W311","the Netherlands","die Niederlande","","W311","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w311/",""
"W312","Denmark","Dänemark","","W312","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w312/",""
"W313","Singapore","Singapur","","W313","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w313/",""
"W314","Iran","der Iran","","W314","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w314/",""
"W315","Liechtenstein","Liechtenstein","","W315","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w315/",""
"W316","Ireland","Irland","","W316","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w316/",""
"W317","Greece","Griechenland","","W317","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w317/",""
"W318","Peru","Peru","","W318","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w318/",""
"W319","Afghanistan","Afghanistan","","W319","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w319/",""
"W320","Madagascar","Madagaskar","","W320","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w320/",""
"W321","Dari","Dari","","W321","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w321/",""
"W322","Pashto","Paschto","","W322","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w322/",""
"W323","Malagasy","Malagasy","","W323","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w323/",""
"W324","north","der Norden","","W324","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w324/",""
"W325","east","der Osten","","W325","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w325/",""
"W326","south","der Süden","","W326","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w326/",""
"W327","west","der Westen","","W327","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w327/",""
"W328","northeast","der Nordosten","","W328","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w328/",""
"W329","southeast","der Südosten","","W329","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w329/",""
"W330","southwest","der Südwesten","","W330","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w330/",""
"W331","northwest","der Nordwesten","","W331","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w331/",""
"W332","Europe","Europa","","W332","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w332/",""
"W333","Asia","Asien","","W333","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w333/",""
"W334","North America","Nordamerika","","W334","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w334/",""
"W335","continent","der Kontinent","die Kontinente","W335","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w335/",""
"W336","person / human being","der Mensch","die Menschen","W336","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w336/",""
"W337","robotics","die Robotik","","W337","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w337/",""
"W338","mobile phone","das Handy","die Handys","W338","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w338/",""
"W339","photo","das Foto","die Fotos","W339","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w339/",""
"W340","native language / mother tongue","die Muttersprache","die Muttersprachen","W340","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w340/",""
"W341","foreign language","die Fremdsprache","die Fremdsprachen","W341","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w341/",""
"W342","world","die Welt","die Welten","W342","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w342/",""
"W343","million","die Million","die Millionen","W343","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w343/",""
"W344","region","die Region","die Regionen","W344","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w344/",""
"W345","friend","der Freund / die Freundin","die Freunde / die Freundinnen","W345, W346","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w345/",""
"W347","really cool","supercool","","W347","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w347/",""
"W348","still / yet / more","noch","","W348","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w348/",""
"W349","much / a lot","viel","","W349","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w349/",""
"W350","here","hier","","W350","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w350/",""
"W351","only","nur","","W351","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w351/",""
"W352","about / approximately","etwa","","W352","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w352/",""
"W353","different / differently","anders","","W353","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w353/",""
"W354","everywhere","überall","","W354","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w354/",""
"W355","German-speaking","deutschsprachig","","W355","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w355/",""
"W356","why","warum","","W356","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w356/",""
"W357","gladly / like doing something","gern","","W357","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w357/",""
"W358","just / once","mal","","W358","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w358/",""
"W359","to tell / talk about","erzählen","","W359","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w359/",""
"W360","translator","der Übersetzer / die Übersetzerin","die Übersetzer / die Übersetzerinnen","W360, W361","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w360/",""
"W362","psychologist","der Psychologe / die Psychologin","die Psychologen / die Psychologinnen","W362, W363","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w362/",""
"W364","German teacher","der Deutschlehrer / die Deutschlehrerin","die Deutschlehrer / die Deutschlehrerinnen","W364, W365","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w364/",""
"W366","fashion photographer","der Modefotograf / die Modefotografin","die Modefotografen / die Modefotografinnen","W366, W367","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w366/",""
"W368","early-years educator / childcare worker","der Erzieher / die Erzieherin","die Erzieher / die Erzieherinnen","W368, W369","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w368/",""
"W370","trainee / apprentice","der Auszubildende / die Auszubildende","die Auszubildenden / die Auszubildenden","W370, W371","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w370/",""
"W372","miller","der Müller / die Müllerin","die Müller / die Müllerinnen","W372, W373","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w372/",""
"W374","fisher","der Fischer / die Fischerin","die Fischer / die Fischerinnen","W374, W375","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w374/",""
"W376","tailor","der Schneider / die Schneiderin","die Schneider / die Schneiderinnen","W376, W377","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w376/",""
"W378","weaver","der Weber / die Weberin","die Weber / die Weberinnen","W378, W379","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w378/",""
"W380","blacksmith","der Schmied / die Schmiedin","die Schmiede / die Schmiedinnen","W380, W381","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w380/",""
"W382","wheelwright","der Wagner / die Wagnerin","die Wagner / die Wagnerinnen","W382, W383","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w382/",""
"W384","composer","der Komponist / die Komponistin","die Komponisten / die Komponistinnen","W384, W385","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w384/",""
"W386","chocolatier / chocolate maker","der Chocolatier / die Chocolatière","die Chocolatiers / die Chocolatières","W386, W387","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w386/",""
"W388","IT trainer","der IT-Trainer / die IT-Trainerin","die IT-Trainer / die IT-Trainerinnen","W388, W389","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w388/",""
"W390","software trainer","der Software-Trainer / die Software-Trainerin","die Software-Trainer / die Software-Trainerinnen","W390, W391","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w390/",""
"W392","conference","die Konferenz","die Konferenzen","W392","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w392/",""
"W393","profile","das Profil","die Profile","W393","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w393/",""
"W394","business card","die Visitenkarte","die Visitenkarten","W394","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w394/",""
"W395","department","die Abteilung","die Abteilungen","W395","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w395/",""
"W396","email address","die E-Mail-Adresse","die E-Mail-Adressen","W396","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w396/",""
"W397","homepage / website","die Homepage","die Homepages","W397","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w397/",""
"W398","city / town","die Stadt","die Städte","W398","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w398/",""
"W399","street","die Straße","die Straßen","W399","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w399/",""
"W400","house number","die Hausnummer","die Hausnummern","W400","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w400/",""
"W401","human resources department","die Personalabteilung","die Personalabteilungen","W401","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w401/",""
"W402","marketing department","die Marketingabteilung","die Marketingabteilungen","W402","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w402/",""
"W403","IT department","die IT-Abteilung","die IT-Abteilungen","W403","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w403/",""
"W404","marketing","das Marketing","","W404","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w404/",""
"W405","address","die Adresse","die Adressen","W405","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w405/",""
"W406","hobby","das Hobby","die Hobbys","W406","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w406/",""
"W407","form","das Formular","die Formulare","W407","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w407/",""
"W408","surname / last name","der Nachname","die Nachnamen","W408","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w408/",""
"W409","postal code","die Postleitzahl","die Postleitzahlen","W409","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w409/",""
"W410","place / town","der Ort","die Orte","W410","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w410/",""
"W411","flat / apartment","die Wohnung","die Wohnungen","W411","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w411/",""
"W412","message","die Nachricht","die Nachrichten","W412","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w412/",""
"W413","interesting","interessant","","W413","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w413/",""
"W414","unmarried / never married","ledig","","W414","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w414/",""
"W415","new","neu","","W415","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w415/",""
"W416","so / well / then","also","","W416","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w416/",""
"W417","me","mich","","W417","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w417/",""
"W418","your (formal)","Ihr / Ihre","","W418","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w418/",""
"W419","colleague","der Kollege / die Kollegin","die Kollegen / die Kolleginnen","W419, W420","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w419/",""
"W421","to listen / hear","hören","","W421","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w421/",""
"W422","to read","lesen","","W422","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w422/",""
"W423","to write","schreiben","","W423","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w423/",""
"W424","to say","sagen","","W424","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w424/",""
"W425","to ask","fragen","","W425","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w425/",""
"W426","to answer","antworten","","W426","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w426/",""
"W427","to see","sehen","","W427","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w427/",""
"W428","to look at","ansehen","","W428","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w428/",""
"W429","to connect / match","verbinden","","W429","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w429/",""
"W430","to complete / fill in","ergänzen","","W430","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w430/",""
"W431","to match / assign","zuordnen","","W431","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w431/",""
"W432","to mark / highlight","markieren","","W432","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w432/",""
"W433","to note down","notieren","","W433","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w433/",""
"W434","to compare","vergleichen","","W434","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w434/",""
"W435","to repeat after a speaker","nachsprechen","","W435","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w435/",""
"W436","to draw","zeichnen","","W436","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w436/",""
"W437","to search / look for","suchen","","W437","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w437/",""
"W438","to find","finden","","W438","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w438/",""
"W439","to close","schließen","","W439","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w439/",""
"W440","to play / act","spielen","","W440","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w440/",""
"W441","to act out / mime","vorspielen","","W441","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w441/",""
"W442","to guess","raten","","W442","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w442/",""
"W443","to think / mean","meinen","","W443","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w443/",""
"W444","to know (a fact)","wissen","","W444","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w444/",""
"W445","to understand","verstehen","","W445","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w445/",""
"W446","to read aloud","vorlesen","","W446","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w446/",""
"W447","to introduce","vorstellen","","W447","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w447/",""
"W448","to give","geben","","W448","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w448/",""
"W449","to correct","korrigieren","","W449","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w449/",""
"W450","to practise","üben","","W450","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w450/",""
"W451","to be missing","fehlen","","W451","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w451/",""
"W452","to choose","wählen","","W452","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w452/",""
"W453","to roll a die","würfeln","","W453","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w453/",""
"W454","to move / draw / pull","ziehen","","W454","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w454/",""
"W455","to get / receive","bekommen","","W455","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w455/",""
"W456","to exchange / swap","tauschen","","W456","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w456/",""
"W457","to solve","lösen","","W457","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w457/",""
"W458","to form / build","bilden","","W458","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w458/",""
"W459","to clap","klatschen","","W459","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w459/",""
"W460","to present","präsentieren","","W460","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w460/",""
"W461","task / exercise","die Aufgabe","die Aufgaben","W461","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w461/",""
"W462","exercise","die Übung","die Übungen","W462","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w462/",""
"W463","word","das Wort","die Wörter","W463","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w463/",""
"W464","picture","das Bild","die Bilder","W464","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w464/",""
"W465","picture vocabulary / picture dictionary","das Bildlexikon","die Bildlexika","W465","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w465/",""
"W466","book","das Buch","die Bücher","W466","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w466/",""
"W467","dictionary","das Wörterbuch","die Wörterbücher","W467","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w467/",""
"W468","online dictionary","das Online-Wörterbuch","die Online-Wörterbücher","W468","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w468/",""
"W469","course / class","der Kurs","die Kurse","W469","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w469/",""
"W470","German course","der Deutschkurs","die Deutschkurse","W470","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w470/",""
"W471","person","die Person","die Personen","W471","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w471/",""
"W472","group","die Gruppe","die Gruppen","W472","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w472/",""
"W473","table / chart","die Tabelle","die Tabellen","W473","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w473/",""
"W474","question","die Frage","die Fragen","W474","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w474/",""
"W475","answer","die Antwort","die Antworten","W475","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w475/",""
"W476","solution / answer","die Lösung","die Lösungen","W476","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w476/",""
"W477","seating plan","der Sitzplan","die Sitzpläne","W477","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w477/",""
"W478","slip of paper","der Zettel","die Zettel","W478","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w478/",""
"W479","example","das Beispiel","die Beispiele","W479","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w479/",""
"W480","number","die Nummer","die Nummern","W480","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w480/",""
"W481","minute","die Minute","die Minuten","W481","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w481/",""
"W482","game","das Spiel","die Spiele","W482","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w482/",""
"W483","dice game","das Würfelspiel","die Würfelspiele","W483","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w483/",""
"W484","playing piece / game token","die Spielfigur","die Spielfiguren","W484","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w484/",""
"W485","arithmetic problem","die Rechenaufgabe","die Rechenaufgaben","W485","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w485/",""
"W486","gap / blank","die Lücke","die Lücken","W486","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w486/",""
"W487","detail / information item","die Angabe","die Angaben","W487","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w487/",""
"W488","family tree","der Stammbaum","die Stammbäume","W488","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w488/",""
"W489","pronunciation","die Aussprache","","W489","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w489/",""
"W490","word stress","der Wortakzent","die Wortakzente","W490","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w490/",""
"W491","syllable","die Silbe","die Silben","W491","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w491/",""
"W492","sentence intonation","die Satzmelodie","die Satzmelodien","W492","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w492/",""
"W493","verb","das Verb","die Verben","W493","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w493/",""
"W494","question starting with a question word","die W-Frage","die W-Fragen","W494","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w494/",""
"W495","yes/no question","die Ja-/Nein-Frage","die Ja-/Nein-Fragen","W495","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w495/",""
"W496","statement","die Aussage","die Aussagen","W496","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w496/",""
"W497","then","dann","","W497","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w497/",""
"W498","once again","noch einmal","","W498","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w498/",""
"W499","further / continue","weiter","","W499","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w499/",""
"W500","in pairs / two together","zu zweit","","W500","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w500/",""
"W501","in threes / three together","zu dritt","","W501","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w501/",""
"W502","oneself / yourself","selbst","","W502","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w502/",""
"W503","with","mit","","W503","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w503/",""
"W504","about","über","","W504","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w504/",""
"W505","on","auf","","W505","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w505/",""
"W506","after","nach","","W506","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w506/",""
"W507","to go; to be going","gehen / Es geht.","","W507","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w507/","/vocabulary/id-6c65783a65732d67656874"
"W508","to please / be glad","freuen","","W508","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w508/",""
"W509","to show","zeigen","","W509","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w509/",""
"W510","to film","filmen","","W510","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w510/",""
